SrcIP;DstIP;SrcPort;DstPort;OrgName;SNI;Hostname;AD flag;Version;Client CipherSuite;Client Extensions;Client SG;CEC_fmt;JA3hash;Server CipherSuite;Server Extensions;Server SG;SEC_fmt;JA3S hash
10.0.2.15;172.217.23.202;53498;443;not resolved;fonts.googleapis.com;fonts.googleapis.com;;771;49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53-10;0-23-35-13-5-18-16-11-10-27;0x00000a0a,0x0000001d,0x00000017,0x00000018;0;d5dcde95b8fa38b5062a128f7eff0737;49195;23-11-35-16;;0;3589acf0c85c607d87bcab1a7e1c7ca3
10.0.2.15;172.217.23.202;53552;443;not resolved;safebrowsing.googleapis.com;fonts.googleapis.com;;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;193c522402283ed9e84b8bb38137829f;49195;23-11-35-16;;0;3589acf0c85c607d87bcab1a7e1c7ca3
10.0.2.15;172.217.23.206;53710;443;not resolved;android.clients.google.com;android.clients.google.com;;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-5-13;0x0000001d,0x00000017,0x00000018;0;3d9a16cdc1b2a98f6046af1c833054b8;49195;23-11;;0;9ab8f8c869ad234d4025e882270a547a
10.0.2.15;172.217.23.234;46106;443;not resolved;geomobileservices-pa.googleapis.com;geomobileservices-pa.googleapis.com;;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-16-5-13;0x0000001d,0x00000017,0x00000018;0;4e0d4a2b967fa262cd93949879d163fe;49195;23-11-16;;0;3e22c1e49e52f88fc45c8cbd6b8e1f37
10.0.2.15;184.51.9.204;52149;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;193c522402283ed9e84b8bb38137829f;49200;0-11-35-5-16;;0,1,2;4e3362a4d6bdc0739bcf48fe32243a69
10.0.2.15;184.51.9.204;52153;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;0529055d554c9da011b745452211c296;49200;0-11-35-5-16;;0,1,2;4e3362a4d6bdc0739bcf48fe32243a69
10.0.2.15;184.51.9.204;52155;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;0529055d554c9da011b745452211c296;49200;0-11-35-5-16;;0,1,2;4e3362a4d6bdc0739bcf48fe32243a69
10.0.2.15;184.51.9.204;52156;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;193c522402283ed9e84b8bb38137829f;49200;16;;;0bcfa5ab48fd49e9b452fbea51bf9ff7
10.0.2.15;184.51.9.204;52157;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;0529055d554c9da011b745452211c296;49200;0-11-35-5-16;;0,1,2;4e3362a4d6bdc0739bcf48fe32243a69
10.0.2.15;184.51.9.204;52158;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;0529055d554c9da011b745452211c296;49200;0-11-35-5-16;;0,1,2;4e3362a4d6bdc0739bcf48fe32243a69
10.0.2.15;184.51.9.204;52159;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;193c522402283ed9e84b8bb38137829f;49200;16;;;0bcfa5ab48fd49e9b452fbea51bf9ff7
10.0.2.15;184.51.9.204;52160;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;193c522402283ed9e84b8bb38137829f;49200;16;;;0bcfa5ab48fd49e9b452fbea51bf9ff7
10.0.2.15;184.51.9.204;52161;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;0529055d554c9da011b745452211c296;49200;0-11-35-5-16;;0,1,2;4e3362a4d6bdc0739bcf48fe32243a69
10.0.2.15;184.51.9.204;52164;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;0529055d554c9da011b745452211c296;49200;0-11-35-5-16;;0,1,2;4e3362a4d6bdc0739bcf48fe32243a69
10.0.2.15;184.51.9.204;52165;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;0529055d554c9da011b745452211c296;49200;0-11-35-5-16;;0,1,2;4e3362a4d6bdc0739bcf48fe32243a69
10.0.2.15;184.51.9.204;52166;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;0529055d554c9da011b745452211c296;49200;0-11-35-5-16;;0,1,2;4e3362a4d6bdc0739bcf48fe32243a69
10.0.2.15;184.51.9.204;52167;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;0529055d554c9da011b745452211c296;49200;0-11-35-5-16;;0,1,2;4e3362a4d6bdc0739bcf48fe32243a69
10.0.2.15;184.51.9.204;52170;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;0529055d554c9da011b745452211c296;49200;0-11-35-5-16;;0,1,2;4e3362a4d6bdc0739bcf48fe32243a69
10.0.2.15;184.51.9.204;52171;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;0529055d554c9da011b745452211c296;49200;0-11-35-5-16;;0,1,2;4e3362a4d6bdc0739bcf48fe32243a69
10.0.2.15;184.51.9.204;52172;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;0529055d554c9da011b745452211c296;49200;0-11-35-5-16;;0,1,2;4e3362a4d6bdc0739bcf48fe32243a69
10.0.2.15;184.51.9.204;52173;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;0529055d554c9da011b745452211c296;49200;0-11-35-5-16;;0,1,2;4e3362a4d6bdc0739bcf48fe32243a69
10.0.2.15;184.51.9.204;52174;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;0529055d554c9da011b745452211c296;49200;0-11-35-5-16;;0,1,2;4e3362a4d6bdc0739bcf48fe32243a69
10.0.2.15;184.51.9.204;52176;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;0529055d554c9da011b745452211c296;49200;0-11-35-5-16;;0,1,2;4e3362a4d6bdc0739bcf48fe32243a69
10.0.2.15;184.51.9.204;52203;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;0529055d554c9da011b745452211c296;49200;0-11-35-5-16;;0,1,2;4e3362a4d6bdc0739bcf48fe32243a69
10.0.2.15;184.51.9.204;52208;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;0529055d554c9da011b745452211c296;49200;0-11-35-5-16;;0,1,2;4e3362a4d6bdc0739bcf48fe32243a69
10.0.2.15;184.51.9.204;52209;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;0529055d554c9da011b745452211c296;49200;16;;;0bcfa5ab48fd49e9b452fbea51bf9ff7
