10.0.2.15;184.51.9.204;52166;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;api.accuweather.com;0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:47.665725000 CEST
184.51.9.204;10.0.2.15;443;52165;2;0x00000303;49200;65281,0,11,35,5,16;;;0,1,2;Oct 20, 2019 16:14:47.671694000 CEST
184.51.9.204;10.0.2.15;443;52166;2;0x00000303;49200;65281,0,11,35,5,16;;;0,1,2;Oct 20, 2019 16:14:47.675151000 CEST
10.0.2.15;184.51.9.204;52167;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;api.accuweather.com;0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:47.695487000 CEST
184.51.9.204;10.0.2.15;443;52167;2;0x00000303;49200;65281,0,11,35,5,16;;;0,1,2;Oct 20, 2019 16:14:47.708250000 CEST
10.0.2.15;23.38.81.66;47996;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;vortex.accuweather.com;0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:48.472913000 CEST
23.38.81.66;10.0.2.15;443;47996;2;0x00000303;49200;65281,0,11,35,5,16;;;0,1,2;Oct 20, 2019 16:14:48.478912000 CEST
10.0.2.15;35.244.184.98;56011;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13,21;device-api.urbanairship.com;0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:48.529171000 CEST
35.244.184.98;10.0.2.15;443;56011;2;0x00000303;49195;23,65281,11,16;;;0;Oct 20, 2019 16:14:48.536361000 CEST
10.0.2.15;184.51.9.204;52170;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;api.accuweather.com;0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:48.561774000 CEST
