SrcIP; DstIP; Type; Query; Ans; Auth; Add; Resp. Types; Response; Response Value
10.0.2.3;10.0.2.15;28;nativesdks.mparticle.com;8;0;0;28,28,28,28,28,28,28,28;nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com;2600:1f18:64e7:c304:6792:4dad:34ad:659,2600:1f18:64e7:c305:29d4:def9:5f68:8c3d,2600:1f18:64e7:c303:9834:f4a6:b9e6:9a2b,2600:1f18:64e7:c304:415d:69df:7704:40fe,2600:1f18:64e7:c303:9d97:ba03:cb57:fac1,2600:1f18:64e7:c304:2731:4842:e38f:6741,2600:1f18:64e7:c304:759:5f1f:b42:36d5,2600:1f18:64e7:c304:ef88:8b32:2cb0:ec8c
10.0.2.3;10.0.2.15;28;pagead2.googlesyndication.com;2;0;0;5,28;pagead2.googlesyndication.com,pagead46.l.doubleclick.net;2a00:1450:4014:801::2002
10.0.2.3;10.0.2.15;28;pubads.g.doubleclick.net;1;0;0;5;pubads.g.doubleclick.net;
10.0.2.3;10.0.2.15;28;pubads.g.doubleclick.net;1;0;0;5;pubads.g.doubleclick.net;
10.0.2.3;10.0.2.15;28;pubads.g.doubleclick.net;1;0;0;5;pubads.g.doubleclick.net;
10.0.2.3;10.0.2.15;28;s0.2mdn.net;2;0;0;5,28;s0.2mdn.net,s0-2mdn-net.l.google.com;2a00:1450:4014:800::2006
10.0.2.3;10.0.2.15;28;safebrowsing.googleapis.com;1;0;0;28;safebrowsing.googleapis.com;2a00:1450:4014:80c::200a
10.0.2.3;10.0.2.15;28;sb-ssl.google.com;2;0;0;5,28;sb-ssl.google.com,sb-ssl.l.google.com;2a00:1450:4014:800::200e
10.0.2.3;10.0.2.15;28;sb-ssl.google.com;2;0;0;5,28;sb-ssl.google.com,sb-ssl.l.google.com;2a00:1450:4014:800::200e
10.0.2.3;10.0.2.15;28;sb.scorecardresearch.com;2;0;0;5,5;sb.scorecardresearch.com,sb.scorecardresearch.com.edgekey.net;
10.0.2.3;10.0.2.15;28;sb.scorecardresearch.com;2;0;0;5,5;sb.scorecardresearch.com,sb.scorecardresearch.com.edgekey.net;
10.0.2.3;10.0.2.15;28;sb.scorecardresearch.com;2;0;0;5,5;sb.scorecardresearch.com,sb.scorecardresearch.com.edgekey.net;
10.0.2.3;10.0.2.15;28;sb.scorecardresearch.com;2;0;0;5,5;sb.scorecardresearch.com,sb.scorecardresearch.com.edgekey.net;
10.0.2.3;10.0.2.15;28;sb.voicefive.com;2;0;0;5,5;sb.voicefive.com,sb.voicefive.com.edgekey.net;
