SrcIP; DstIP; Type; Query; Ans; Auth; Add; Resp. Types; Response; Response Value
10.0.2.3;10.0.2.15;1;pagead2.googlesyndication.com;2;0;0;5,1;pagead2.googlesyndication.com,pagead46.l.doubleclick.net;172.217.23.194
10.0.2.3;10.0.2.15;1;pubads.g.doubleclick.net;2;0;0;5,1;pubads.g.doubleclick.net,partnerad.l.doubleclick.net;172.217.23.194
10.0.2.3;10.0.2.15;1;pubads.g.doubleclick.net;2;0;0;5,1;pubads.g.doubleclick.net,partnerad.l.doubleclick.net;172.217.23.194
10.0.2.3;10.0.2.15;1;pubads.g.doubleclick.net;2;0;0;5,1;pubads.g.doubleclick.net,partnerad.l.doubleclick.net;172.217.23.194
10.0.2.3;10.0.2.15;1;remote-data.urbanairship.com;1;0;0;1;remote-data.urbanairship.com;35.201.74.116
10.0.2.3;10.0.2.15;1;s0.2mdn.net;2;0;0;5,1;s0.2mdn.net,s0-2mdn-net.l.google.com;216.58.201.70
10.0.2.3;10.0.2.15;1;sb.scorecardresearch.com;3;0;0;5,5,1;sb.scorecardresearch.com,sb.scorecardresearch.com.edgekey.net,e1879.e7.akamaiedge.net;104.127.61.74
10.0.2.3;10.0.2.15;1;sb.scorecardresearch.com;3;0;0;5,5,1;sb.scorecardresearch.com,sb.scorecardresearch.com.edgekey.net,e1879.e7.akamaiedge.net;104.127.61.74
10.0.2.3;10.0.2.15;1;sb.scorecardresearch.com;3;0;0;5,5,1;sb.scorecardresearch.com,sb.scorecardresearch.com.edgekey.net,e1879.e7.akamaiedge.net;104.127.61.74
10.0.2.3;10.0.2.15;1;sb.scorecardresearch.com;3;0;0;5,5,1;sb.scorecardresearch.com,sb.scorecardresearch.com.edgekey.net,e1879.e7.akamaiedge.net;104.127.61.74
10.0.2.3;10.0.2.15;1;sb.scorecardresearch.com;3;0;0;5,5,1;sb.scorecardresearch.com,sb.scorecardresearch.com.edgekey.net,e1879.e7.akamaiedge.net;104.127.61.74
10.0.2.3;10.0.2.15;1;sb.voicefive.com;3;0;0;5,5,1;sb.voicefive.com,sb.voicefive.com.edgekey.net,e1880.e7.akamaiedge.net;104.127.61.90
10.0.2.3;10.0.2.15;1;sdk.foursquare.com;4;0;0;1,1,1,1;sdk.foursquare.com,sdk.foursquare.com,sdk.foursquare.com,sdk.foursquare.com;151.101.66.202,151.101.130.202,151.101.194.202,151.101.2.202
10.0.2.3;10.0.2.15;1;securepubads.g.doubleclick.net;2;0;0;5,1;securepubads.g.doubleclick.net,partnerad.l.doubleclick.net;172.217.23.194
10.0.2.3;10.0.2.15;1;securepubads.g.doubleclick.net;2;0;0;5,1;securepubads.g.doubleclick.net,partnerad.l.doubleclick.net;172.217.23.194
10.0.2.3;10.0.2.15;1;settings.crashlytics.com;8;0;0;1,1,1,1,1,1,1,1;settings.crashlytics.com,settings.crashlytics.com,settings.crashlytics.com,settings.crashlytics.com,settings.crashlytics.com,settings.crashlytics.com,settings.crashlytics.com,settings.crashlytics.com;50.19.232.199,50.19.103.112,50.17.198.184,50.19.216.10,50.17.203.89,50.19.220.159,50.19.233.209,50.17.191.13
10.0.2.3;10.0.2.15;1;ssl.google-analytics.com;2;0;0;5,1;ssl.google-analytics.com,ssl-google-analytics.l.google.com;172.217.23.232
10.0.2.3;10.0.2.15;1;t.appsflyer.com;9;0;0;5,1,1,1,1,1,1,1,1;t.appsflyer.com,appsflyer-web-17-1930449027.eu-west-1.elb.amazonaws.com,appsflyer-web-17-1930449027.eu-west-1.elb.amazonaws.com,appsflyer-web-17-1930449027.eu-west-1.elb.amazonaws.com,appsflyer-web-17-1930449027.eu-west-1.elb.amazonaws.com,appsflyer-web-17-1930449027.eu-west-1.elb.amazonaws.com,appsflyer-web-17-1930449027.eu-west-1.elb.amazonaws.com,appsflyer-web-17-1930449027.eu-west-1.elb.amazonaws.com,appsflyer-web-17-1930449027.eu-west-1.elb.amazonaws.com;34.255.249.48,34.250.208.167,18.200.215.201,34.255.175.215,18.200.151.201,34.251.160.171,34.250.242.46,34.249.139.39
10.0.2.3;10.0.2.15;1;tpc.googlesyndication.com;2;0;0;5,1;tpc.googlesyndication.com,pagead-googlehosted.l.google.com;216.58.201.97
10.0.2.3;10.0.2.15;1;vortex.accuweather.com;3;0;0;5,5,1;vortex.accuweather.com,vortex-new.accuweather.com.edgekey.net,e1524.e12.akamaiedge.net;23.38.81.66
10.0.2.3;10.0.2.15;1;www.googletagservices.com;2;0;0;5,1;www.googletagservices.com,pagead46.l.doubleclick.net;172.217.23.194
10.0.2.3;10.0.2.15;1;www.gstatic.com;1;0;0;1;www.gstatic.com;216.58.201.67
